"","Name","System_number","Ecosystem_type","Country","Continent","Latitude","Longitude","LSR_mmy.1","DBD_gcm.3","Cdensity_kgCm.3","OC_content","OCBrate_gCm.2y.1","OC_depo_gCm.2y.1","OCBeff","Dating_method","Reference","Notes_ID"
"128","Svarttjärn",347,"Lake","Sweden","Europe",59.89,15.26,NA,0.07,NA,28.72,5.09,NA,NA,"14C","Chmiel et al. 2015",""
"129","Gäddtjärn",340,"Lake","Sweden","Europe",59.86,15.18,NA,0.05,NA,28.07,8.81,NA,NA,"210Pb","Chmiel et al. 2015",""
"130","Gäddtjärn",340,"Lake","Sweden","Europe",59.86,15.18,NA,0.07,NA,25.4,5.3,NA,NA,"14C","Chmiel et al. 2015",""
"131","Lilla Sångaren",343,"Lake","Sweden","Europe",59.9,15.39,NA,0.06,NA,18.78,4.48,NA,NA,"210Pb","Chmiel et al. 2015",""
"132","Lilla Sångaren",343,"Lake","Sweden","Europe",59.9,15.39,NA,0.06,NA,22.77,2.35,NA,NA,"14C","Chmiel et al. 2015",""
"133","Lago Santa Ninha TA11",373.1,"Lake","Brazil","S. America",-2.11,-55.43,NA,NA,NA,0.83,91,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"134","Lago Acarabixi",376.1,"Lake","Brazil","S. America",-0.35,-64.5,NA,NA,NA,25,265,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"135","Alta Floresta",627,"Reservoir","Brazil","S. America",-9.97,-55.82,NA,NA,NA,13.4,433,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"136","Carajás",629,"Lake","Brazil","S. America",-6.11,-50.19,NA,NA,NA,45.6,21.3,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"137","Humaitá",631,"Lake","Brazil","S. America",-8.17,-63.78,NA,NA,NA,5.39,12.65,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"138","Lago Caracarana",632,"Lake","Brazil","S. America",3.85,-59.78,NA,NA,NA,10,7.5,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"139","Lagoa da Pata",633,"Lake","Brazil","S. America",-20.02,-45.54,NA,NA,NA,36,4.16,NA,NA,"210Pb and 14C","Cordeiro et al. 2008",""
"140","Agnes",2,"Lake","USA","N. America",48.47,-92.81,NA,NA,NA,21.97,25.89,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"141","Alton",4,"Lake","USA","N. America",47.86,-90.91,NA,NA,NA,18.93,8.39,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"142","August",5,"Lake","USA","N. America",47.76,-91.61,NA,NA,NA,13.84,29.45,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"143","Bass",8,"Lake","USA","N. America",43.82,-94.08,NA,NA,NA,6.26,56.43,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"144","Battle Creek",9,"Lake","USA","N. America",44.95,-92.97,NA,NA,NA,14.64,61.12,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"145","Bean",10,"Lake","USA","N. America",44.07,-95.37,NA,NA,NA,6.77,65.28,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"146","Bean",10,"Lake","USA","N. America",47.31,-91.3,NA,NA,NA,19.06,27.64,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"147","Bear",11,"Lake","USA","N. America",47.28,-91.34,NA,NA,NA,15.2,19.51,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
