"","Name","System_number","Ecosystem_type","Country","Continent","Latitude","Longitude","LSR_mmy.1","DBD_gcm.3","Cdensity_kgCm.3","OC_content","OCBrate_gCm.2y.1","OC_depo_gCm.2y.1","OCBeff","Dating_method","Reference","Notes_ID"
"166","East Boot",47,"Lake","USA","N. America",45.16,-92.83,NA,NA,NA,20.49,48.21,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"167","Edwards",49,"Lake","USA","N. America",45.51,-95.47,NA,NA,NA,10.77,58.97,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"168","Ek",50,"Lake","USA","N. America",48.47,-92.84,NA,NA,NA,21.01,20.49,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"169","Elmo",51,"Lake","USA","N. America",44.98,-92.88,NA,NA,NA,6.08,39.05,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"170","First Crow Wing",57,"Lake","USA","N. America",46.84,-94.84,NA,NA,NA,16.83,51.49,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"171","Fish",58,"Lake","USA","N. America",43.85,-95.05,NA,NA,NA,6.17,27.6,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"172","Fish",58,"Lake","USA","N. America",44.82,-93.16,NA,NA,NA,15.62,58.96,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"173","Forsythe",60,"Lake","USA","N. America",47.27,-93.6,NA,NA,NA,18.51,45.57,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"174","Fox",64,"Lake","USA","N. America",43.68,-94.7,NA,NA,NA,6.55,53.87,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"175","George",66,"Lake","USA","N. America",44.23,-93.87,NA,NA,NA,8.54,29.71,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"176","George",66,"Lake","USA","N. America",45.24,-94.98,NA,NA,NA,8.84,53.3,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"177","Gervais",67,"Lake","USA","N. America",45.02,-93.07,NA,NA,NA,8.34,41.84,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"178","Greenleaf",71,"Lake","USA","N. America",44.4,-93.63,NA,NA,NA,8.35,95.4,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"179","Harriet",72,"Lake","USA","N. America",44.92,-93.3,NA,NA,NA,10.72,25.01,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"180","Henderson",73,"Lake","USA","N. America",45.23,-94.99,NA,NA,NA,14.19,26.29,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"181","High Island",74,"Lake","USA","N. America",44.67,-94.21,NA,NA,NA,13.93,83.94,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"182","Hjermstad",75,"Lake","USA","N. America",44.17,-95.97,NA,NA,NA,6.41,98.34,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"183","Jessie",83,"Lake","USA","N. America",47.59,-93.82,NA,NA,NA,12.59,39.13,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"184","Johanna",84,"Lake","USA","N. America",45.04,-93.17,NA,NA,NA,10.61,41.79,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"185","Kabetogama",87,"Lake","USA","N. America",48.46,-93.04,NA,NA,NA,10.9,24.76,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"186","Kreighle",88,"Lake","USA","N. America",45.58,-94.48,NA,NA,NA,22.45,51.13,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"187","Lac La Croix",90,"Lake","USA","N. America",48.35,-92.11,NA,NA,NA,9.65,11.92,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"188","Lady Slipper",91,"Lake","USA","N. America",44.57,-95.63,NA,NA,NA,6.6,57.7,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"189","Little Bass",99,"Lake","USA","N. America",47.29,-93.6,NA,NA,NA,15.09,24.82,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"190","Little Carnelian",100,"Lake","USA","N. America",45.12,-92.8,NA,NA,NA,15.51,19.12,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"191","Little Long",101,"Lake","USA","N. America",44.95,-93.71,NA,NA,NA,12.47,22.75,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","F2014_1"
"192","Little Lower Elk",102,"Lake","USA","N. America",45.93,-95.81,NA,NA,NA,9.67,46.77,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"193","Little Trout",104,"Lake","USA","N. America",48.4,-92.52,NA,NA,NA,12.39,8.46,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","G2013_1"
"194","Little Turtle",105,"Lake","USA","N. America",45.88,-95.84,NA,NA,NA,12.53,55.76,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"195","Locator",107,"Lake","USA","N. America",48.54,-93.01,NA,NA,NA,21.63,8.76,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","G2013_1"
"196","Loiten",108,"Lake","USA","N. America",48.53,-92.92,NA,NA,NA,21.47,7.15,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","G2013_1"
"197","Lone Tree",109,"Lake","USA","N. America",44.69,-95.44,NA,NA,NA,7.73,91.15,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","G2013_1"
"198","Long",110,"Lake","USA","N. America",45.33,-94.87,NA,NA,NA,10.57,16.01,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","G2013_1"
"199","Long",110,"Lake","USA","N. America",47.22,-93.65,NA,NA,NA,20.17,22.47,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"200","Long",110,"Lake","USA","N. America",47.28,-95.3,NA,NA,NA,9.4,25,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"201","Loon",111,"Lake","USA","N. America",47.23,-93.65,NA,NA,NA,16.79,23.61,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"202","Marcott",115,"Lake","USA","N. America",44.82,-93.07,NA,NA,NA,11.8,28.78,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"203","Margaret",116,"Lake","USA","N. America",46.49,-94.36,NA,NA,NA,12.42,61.87,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"204","McCarrons",118,"Lake","USA","N. America",45,-93.11,NA,NA,NA,12.27,29.66,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"205","Middle Twin",122,"Lake","USA","N. America",45.04,-93.34,NA,NA,NA,14.37,53.96,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"206","Miller",123,"Lake","USA","N. America",44.79,-93.74,NA,NA,NA,6.16,126.87,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"207","Namakan",127,"Lake","USA","N. America",48.44,-92.58,NA,NA,NA,6.87,11.57,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"208","Nelson",129,"Lake","USA","N. America",45.52,-95.45,NA,NA,NA,9.08,59.15,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"209","Ninemile",130,"Lake","USA","N. America",47.58,-91.08,NA,NA,NA,22.48,22.45,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
